Year,Source_File,Sheet,Column
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Other Central FTEs (incl. Awarded on Appeal)
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Liquidated AP
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Liquidated RJC
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Liquidated School Assistant
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Liquidated Part-Time Operations Bucket
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Teachers
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Asst. Principal.1
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Clerk.1
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Counselor.1
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Restorative Justice Coord..1
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Tech Coord.
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Teacher/ Classroom Assistants
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Other Non-Teacher Discretionary Staff
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Discretionary Non-FTE Funding
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Special Ed Teachers
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Special Ed Paraprofessionals
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Case Managers
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Other Special Ed FTEs
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Early Childhood Teachers
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Early Childhood Paraprofessionals
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Other Early Chlidhood FTEs
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Early College (ECCE) Positions
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,College & Career Coaches
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,STEM Coords & Teachers
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,IB Coord.
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,RGC & RGC-EL Coord.
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Personalized Learning Coord.
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Montessori Program Coord.
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Montessori Positions
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,JROTC Positions
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Bilingual & Dual Language Coordinators
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,STLS Advocates
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Instructional Support Buckets
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Lead Coaches
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Lunchroom
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Security
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Whole School Safety Funding
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,School and District Improvement Grant (SDI) Allocation
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,School Internal Account Funded Teacher Positions
2026,DISTRICT_MANAGED_2026.xlsx,Traditional,School Internal Account Funded Non-Teacher Positions
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,School Name
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Community Area
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,School Type
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Network
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Fall 2024 PE/PK Enrollment
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Fall 2024 K-12 Enrollment
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Fall 2024 Total Enrollment
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Fall 2023 Total Enrollment
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Change in Total Enrollment from Fall 2023 to Fall 2024
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Per-Pupil Total For Title I Funding
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Centrally Allocated General Education Teachers
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Title I Interventionists
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Teachers Received on Appeal
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Principal
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Asst. Principal
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Clerk
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Counselor
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Athletic Stipends
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Part-Time Operational Position
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Other Central FTEs (incl. Awarded on Appeal)
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Liquidated Part-Time Operations Bucket
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Teachers
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Asst. Principal.1
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Counselor.1
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Teacher/ Classroom Assistants
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Other Non-Teacher Discretionary Staff
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Discretionary Non-FTE Funding
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Special Ed Teachers
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Special Ed Paraprofessionals
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Case Managers
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Other Special Ed FTEs
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Early Childhood Teachers
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Early Childhood Paraprofessionals
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Other Early Chlidhood FTEs
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Bilingual & Dual Language Coordinators
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,STLS Advocates
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Instructional Support Buckets
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Lead Coaches
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Lunchroom
2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,Security
2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,School Information
2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,"Includes School Name, School Type, Community Area, Network, and Opportunity Index score (where applicable)."
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,School Name
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,School Type
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Network
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Community Area
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Opportunity Index
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Fall 2025 Total Enrollment
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Fall 2025 K-12 Non-Cluster Enrollment
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Fall 2024 K-12 Non-Cluster Enrollment
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Change in K-12 Non-Cluster Enrollment from Fall 2024 to Fall 2025
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Student : Teacher Ratio for Core Classroom Teachers (Unadjusted for Floor)
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Per-Pupil Total For Need-Based Flexible Funding (Unadjusted for Floor)
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Per-Pupil Total For Title I Funding
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Core Classroom
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Holistic (ES Only)
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Loss Cap Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Title I Interventionists
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Critical/World Language Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Teachers Received on Appeal
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Teacher Positions Liquidated for Discretionary Dollars (Reference Only)
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Principal
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Asst. Principal
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Clerk
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Counselor
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Restorative Justice Coord.
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Athletic Director
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,School Operations Support - Add'l Flexible Funding
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Other Central FTEs (incl. Class Size TA's)
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Liquidated AP
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Liquidated RJC
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Asst. Principal.1
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Clerk.1
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Counselor.1
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Restorative Justice Coord..1
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Tech Coord.
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Teacher/ Classroom Assistants
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,School Assistant
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Other Non-Teacher Discretionary Staff
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Discretionary Non-FTE Funding
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Special Ed Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Special Ed Paraprofessionals
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Case Managers
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Other Special Ed FTEs
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Early Childhood Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Early Childhood Paraprofessionals
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Other Early Chlidhood FTEs
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Early College (ECCE) Positions
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,STEM Coords & Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,IB Coord.
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,RGC & RGC-EL Coord.
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Personalized Learning Coord.
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Montessori Program Coord.
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Montessori Positions
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,JROTC Positions
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Bilingual & Dual Language Coordinators
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,STLS Advocates
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Instructional Support Buckets
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Lead Coaches
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Lunchroom
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Security
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,Whole School Safety Funding
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,School and District Improvement Grant (SDI) Allocation
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,School Internal Account Funded Teacher Positions
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,School Internal Account Funded AP Positions
2027,DISTRICT_MANAGED_2027.xlsx,Traditional,School Internal Account Funded Non-Teacher Positions
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,School Name
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Community Area
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,School Type
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Network
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Fall 2025 PE/PK Enrollment
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Fall 2025 K-12 Enrollment
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Fall 2025 Total Enrollment
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Fall 2024 Total Enrollment
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Change in Total Enrollment from Fall 2024 to Fall 2025
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Per-Pupil Total For Title I Funding
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Centrally Allocated Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Title I Interventionists
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Teachers Received on Appeal
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Principal
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Asst. Principal
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Clerk
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Counselor
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Other Centrally-Allocated Positions
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,School Operations Support - Add'l Flexible Funding
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Asst. Principal.1
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Counselor.1
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Teacher/ Classroom Assistants
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Other Non-Teacher Discretionary Staff
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Discretionary Non-FTE Funding
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Special Ed Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Special Ed Paraprofessionals
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Case Managers
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Other Special Ed FTEs
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Early Childhood Teachers
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Early Childhood Paraprofessionals
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Other Early Chlidhood FTEs
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Bilingual & Dual Language Coordinators
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,STLS Advocates
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Instructional Support Buckets
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Lead Coaches
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Lunchroom
2027,DISTRICT_MANAGED_2027.xlsx,Alt-Spec,Security
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,Overview,Core Instructional Funding
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,Overview,"A consolidated revenue stream to support instruction at non-district schools. This is a combination of what has historically been Student-Based Budgeting (SBB) and Supplemental Aid. There are now two rates - one for Elementary School Level Students, and one for High School Level Students"
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,FY25 Non-District Schools,Name
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,FY25 Non-District Schools,Network
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,FY25 Non-District Schools,Fall 2023 20th Day Enrollment
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,FY25 Non-District Schools,Core Instructional Funding
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,FY25 Non-District Schools,Non-Instructional
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,FY25 Non-District Schools,Special Education
2025,CHARTER_CONTRACT_ALOP_2025.xlsx,FY25 Non-District Schools,Facilities Supplement
